ID,OrderId,UID,MID,Charge,TalkTime,Source,Country,UserSpend,MasterEarn,OrderStatus,Ender,Activity,Platform,CreateTime(IN),DialTime(IN),UnconnectTime(IN),ConnectTime(IN),HangUpTime(IN),RefundStatus,Review,,,ExotelCallId
3962859,64F4D5ED115FF131S138,2168318,892,21,0,Call,1,0,0,NoAnswer,Master,,Android,2023-09-04 00:22:29,2023-09-04 00:22:29,2023-09-04 00:23:15,,,,No,,,dd67a89a8f867a37c46eb516a8661794
3962860,64F4D61118673317O145,3563991,74,50,0,Chat,1,0,0,HangUp,Master,First 5₹,Android,2023-09-04 00:23:05,2023-09-04 00:23:25,,,2023-09-04 00:23:29,,No,,,
3962861,64F4D62E8F520577P161,148365,937,42,0,Call(queue),1,0,0,NoAnswer,User,,Android,2023-09-04 00:23:34,2023-09-04 00:24:43,2023-09-04 00:24:53,2023-09-04 00:24:51,,,No,,,7633f94fc5c3e036682d90832afe1794
3962862,64F4D63AE84BC245O390,1088207,575,21,18,Call,1,378,189,HangUp,User,,IOS,2023-09-04 00:23:46,2023-09-04 00:23:47,,2023-09-04 00:24:02,2023-09-04 00:42:36,,No,,,57000002dc6f264158e53b8302cf1794
3962863,64F4D64CAC8CD424D219,1684456,1084,15,4,Call,1,60,24,HangUp,User,,Android,2023-09-04 00:24:04,2023-09-04 00:24:04,,2023-09-04 00:24:13,2023-09-04 00:28:52,,No,,,df626c693f9f35f1bde85d5c81b91794
3962864,64F4D6621D5BA340P160,3546254,937,42,0,Call(queue),1,0,0,Create,User,,IOS,2023-09-04 00:24:26,,2023-09-04 00:25:26,,,,No,,,
3962865,64F4D67BF0247478N428,1390110,937,42,0,Call(queue),1,0,0,NoAnswer,User,,Android,2023-09-04 00:24:51,2023-09-04 00:25:38,2023-09-04 00:25:51,2023-09-04 00:25:46,,,No,,,ba2afe6dbbe29d2b128a5fdf097b1794
3962866,64F4D67D4964B732O294,3352097,558,45,4,Call,1,180,90,HangUp,User,,Android,2023-09-04 00:24:53,2023-09-04 00:24:53,,2023-09-04 00:25:01,2023-09-04 00:30:10,,No,,,f6fc21159874704568df2b3de85c1794
3962867,64F4D684B36D4784R713,1136719,891,33,18,Call,1,594,297,HangUp,User,,Android,2023-09-04 00:25:00,2023-09-04 00:25:00,,2023-09-04 00:25:08,2023-09-04 00:44:29,,No,,,bfa1cc93916fe7533bc7ca437cea1794
3962868,64F4D6887F8BF608C365,148365,937,42,0,Call(queue),1,0,0,NoAnswer,User,,Android,2023-09-04 00:25:04,2023-09-04 00:25:56,2023-09-04 00:26:05,2023-09-04 00:26:01,,,No,,,ebec6a64ac1387a83129b5454dd41794
